director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,jurassic world,Bryce Dallas HowardJudy GreerOmar SyColin TrevorrowAction Adventure Sci-Fi Thriller
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man 2,J.K. SimmonsJames FrancoKirsten DunstSam RaimiAction Adventure Fantasy Romance
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,iron man 3,Robert Downey Jr.Jon FavreauDon CheadleShane BlackAction Adventure Sci-Fi
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand,Hugh JackmanKelsey GrammerDaniel CudmoreBrett RatnerAction Adventure Fantasy Sci-Fi Thriller
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,monsters university,Steve BuscemiTyler LabineSean HayesDan ScanlonAdventure Animation Comedy Family Fantasy
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,transformers: revenge of the fallen,Glenn MorshowerKevin DunnRamon RodriguezMichael BayAction Adventure Sci-Fi
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,transformers: age of extinction,Bingbing LiSophia MylesKelsey GrammerMichael BayAction Adventure Sci-Fi
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2,Emma StoneAndrew GarfieldB.J. NovakMarc WebbAction Adventure Fantasy Sci-Fi
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,cars 2,Joe MantegnaThomas KretschmannEddie IzzardJohn LasseterAdventure Animation Comedy Family Sport
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,green lantern,Ryan ReynoldsTemuera MorrisonTaika WaititiMartin CampbellAction Adventure Sci-Fi
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,toy story 3,Tom HanksJohn RatzenbergerDon RicklesLee UnkrichAdventure Animation Comedy Family Fantasy
McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,terminator salvation,Christian BaleBryce Dallas HowardCommonMcGAction Adventure Sci-Fi
James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,furious 7,Jason StathamPaul WalkerVin DieselJames WanAction Crime Thriller
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,world war z,Peter CapaldiBrad PittMireille EnosMarc ForsterAction Adventure Horror Sci-Fi Thriller
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past,Jennifer LawrencePeter DinklageHugh JackmanBryan SingerAction Adventure Fantasy Sci-Fi Thriller
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,star trek into darkness,Benedict CumberbatchBruce GreenwoodNoel ClarkeJ.J. AbramsAction Adventure Sci-Fi
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,jack the giant slayer,Eddie MarsanEwen BremnerRalph BrownBryan SingerAdventure Fantasy
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,prince of persia: the sands of time,Jake GyllenhaalRichard CoyleReece RitchieMike NewellAction Adventure Fantasy Romance
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,pacific rim,Charlie HunnamClifton Collins Jr.Larry Joe CampbellGuillermo del ToroAction Adventure Sci-Fi
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,transformers: dark of the moon,Glenn MorshowerLester SpeightKevin DunnMichael BayAction Adventure Sci-Fi
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,Harrison FordRay WinstoneJim BroadbentSteven SpielbergAction Adventure Fantasy
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,A.J. BuckleyJack McGrawPeter SohnPeter SohnAdventure Animation Comedy Family Fantasy
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,brave,Kelly MacdonaldJohn RatzenbergerJulie WaltersMark AndrewsAdventure Animation Comedy Family Fantasy
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,star trek beyond,Sofia BoutellaMelissa RoxburghLydia WilsonJustin LinAction Adventure Sci-Fi Thriller
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,wall·e,John RatzenbergerFred WillardJeff GarlinAndrew StantonAdventure Animation Family Sci-Fi
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,rush hour 3,Tzi MaDana IveyNoémie LenoirBrett RatnerAction Comedy Crime Thriller
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,Oliver PlattLiam JamesTom McCarthyRoland EmmerichAction Adventure Sci-Fi
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,a christmas carol,Robin WrightColin FirthGary OldmanRobert ZemeckisAnimation Drama Family Fantasy
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,jupiter ascending,Channing TatumMila KunisEddie RedmayneLana WachowskiAction Adventure Sci-Fi
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",Jim BroadbentKiran ShahShane RangiAndrew AdamsonAdventure Family Fantasy
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,x-men: apocalypse,Jennifer LawrenceMichael FassbenderTye SheridanBryan SingerAction Adventure Sci-Fi
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,the dark knight,Christian BaleHeath LedgerMorgan FreemanChristopher NolanAction Crime Drama Thriller
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,up,John RatzenbergerDelroy LindoJess HarnellPete DocterAdventure Animation Comedy Family
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,Amy PoehlerRainn WilsonStephen ColbertRob LettermanAction Adventure Animation Comedy Family Sci-Fi
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,iron man,Robert Downey Jr.Jeff BridgesJon FavreauJon FavreauAction Adventure Sci-Fi
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,hugo,Chloë Grace MoretzChristopher LeeRay WinstoneMartin ScorseseAdventure Drama Family Mystery
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,wild wild west,Will SmithSalma HayekBai LingBarry SonnenfeldAction Comedy Sci-Fi Western
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,Jet LiBrendan FraserRussell WongRob CohenAction Adventure Fantasy Horror Thriller
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,suicide squad,Will SmithRobin Atkin DownesIke BarinholtzDavid AyerAction Adventure Comedy Sci-Fi
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,evan almighty,Jimmy BennettMorgan FreemanSteve CarellTom ShadyacComedy Family Fantasy
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,edge of tomorrow,Tom CruiseLara PulverNoah TaylorDoug LimanAction Adventure Sci-Fi
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,waterworld,Jeanne TripplehornRick AvilesZakes MokaeKevin ReynoldsAction Adventure Sci-Fi Thriller
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,Joseph Gordon-LevittDennis QuaidLeo HowardStephen SommersAction Adventure Sci-Fi Thriller
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,inside out,Amy PoehlerMindy KalingPhyllis SmithPete DocterAdventure Animation Comedy Drama Family Fantasy
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,iron man 2,Robert Downey Jr.Scarlett JohanssonJon FavreauJon FavreauAction Adventure Sci-Fi
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,snow white and the huntsman,Chris HemsworthKristen StewartSam ClaflinRupert SandersAction Adventure Drama Fantasy
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,maleficent,Angelina Jolie PittSharlto CopleySam RileyRobert StrombergAction Adventure Family Fantasy Romance
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,Gary OldmanJudy GreerKodi Smit-McPheeMatt ReevesAction Adventure Drama Sci-Fi
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 ronin,Keanu ReevesCary-Hiroyuki TagawaJin AkanishiCarl RinschAction Adventure Drama Fantasy
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,captain america: the winter soldier,Scarlett JohanssonChris EvansHayley AtwellAnthony RussoAction Adventure Sci-Fi
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,shrek forever after,Jon HammKathy GriffinMary Kay PlaceMike MitchellAdventure Animation Comedy Family Fantasy
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,tomorrowland,Judy GreerChris BauerThomas RobinsonBrad BirdAction Adventure Family Mystery Sci-Fi
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,Damon Wayans Jr.Daniel HenneyAbraham BenrubiDon HallAction Adventure Animation Comedy Drama Family Sci-Fi
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,Jack McBrayerSarah SilvermanJoe Lo TruglioRich MooreAdventure Animation Comedy Family Sci-Fi
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,the polar express,Tom HanksEddie DeezenPeter ScolariRobert ZemeckisAdventure Animation Family Fantasy
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,independence day: resurgence,Vivica A. FoxSela WardJudd HirschRoland EmmerichAction Adventure Sci-Fi
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,how to train your dragon,Gerard ButlerAmerica FerreraCraig FergusonDean DeBloisAdventure Animation Family Fantasy
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,terminator 3: rise of the machines,Nick StahlM.C. GaineyCarolyn HennesyJonathan MostowAction Sci-Fi
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,guardians of the galaxy,Bradley CooperVin DieselDjimon HounsouJames GunnAction Adventure Sci-Fi
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,interstellar,Matthew McConaugheyAnne HathawayMackenzie FoyChristopher NolanAdventure Drama Sci-Fi
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,inception,Leonardo DiCaprioTom HardyJoseph Gordon-LevittChristopher NolanAction Adventure Sci-Fi Thriller
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: an unexpected journey,Aidan TurnerAdam BrownJames NesbittPeter JacksonAdventure Fantasy
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,the curious case of benjamin button,Brad PittJason FlemyngJulia OrmondDavid FincherDrama Fantasy Romance
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,x-men: first class,Jennifer LawrenceMichael FassbenderOliver PlattMatthew VaughnAction Adventure Sci-Fi
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,the hunger games: mockingjay - part 2,Jennifer LawrencePhilip Seymour HoffmanJosh HutchersonFrancis LawrenceAdventure Sci-Fi
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,the sorcerer's apprentice,Nicolas CageOmar Benson MillerRobert CapronJon TurteltaubAction Adventure Family Fantasy
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,poseidon,Jimmy BennettMike VogelAndre BraugherWolfgang PetersenAction Adventure Drama Thriller
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice through the looking glass,Johnny DeppAlan RickmanAnne HathawayJames BobinAdventure Family Fantasy
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,shrek the third,Justin TimberlakeEric IdleRupert EverettChris MillerAdventure Animation Comedy Family Fantasy
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,warcraft,Dominic CooperCallum RennieRuth NeggaDuncan JonesAction Adventure Fantasy
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,terminator genisys,J.K. SimmonsEmilia ClarkeMatt SmithAlan TaylorAction Adventure Sci-Fi
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,Bruce SpenceShane RangiLaura BrentMichael AptedAdventure Family Fantasy
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,pearl harbor,Jennifer GarnerJaime KingMakoMichael BayAction Drama History Romance War
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,transformers,Zack WardMichael O'NeillKevin DunnMichael BayAction Adventure Sci-Fi
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander,Anthony HopkinsAngelina Jolie PittBrian BlessedOliver StoneAction Adventure Biography Drama History Romance War
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,Robert PattinsonDaniel RadcliffeFiona ShawDavid YatesAdventure Family Fantasy Mystery
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,Robert PattinsonDaniel RadcliffeRupert GrintMike NewellAdventure Family Fantasy Mystery
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,hancock,Will SmithCharlize TheronEddie MarsanPeter BergAction Drama
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,i am legend,Will SmithAlice BragaWillow SmithFrancis LawrenceDrama Horror Sci-Fi
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,charlie and the chocolate factory,Johnny DeppChristopher LeeDavid KellyTim BurtonAdventure Comedy Family Fantasy
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,ratatouille,Janeane GarofaloJohn RatzenbergerBrian DennehyBrad BirdAnimation Comedy Family Fantasy
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,batman begins,Christian BaleLiam NeesonMorgan FreemanChristopher NolanAction Adventure
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,madagascar: escape 2 africa,Bernie MacJada Pinkett SmithCedric the EntertainerEric DarnellAction Adventure Animation Comedy Family
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian,Robin WilliamsRami MalekSteve CooganShawn LevyAdventure Comedy Family Fantasy
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,Hugh JackmanRyan ReynoldsDominic MonaghanGavin HoodAction Adventure Fantasy Sci-Fi Thriller
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,the matrix revolutions,Essie DavisCollin ChouNona GayeLana WachowskiAction Sci-Fi
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,frozen,Josh GadMaurice LaMarcheLivvy StubenrauchChris BuckAdventure Animation Comedy Family Fantasy Musical
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,the matrix reloaded,Steve BastoniDaniel BernhardtHelmut BakaitisLana WachowskiAction Sci-Fi
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor: the dark world,Chris HemsworthNatalie PortmanAnthony HopkinsAlan TaylorAction Adventure Fantasy
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller,mad max: fury road,Tom HardyCharlize TheronZoë KravitzGeorge MillerAction Adventure Sci-Fi Thriller
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,angels & demons,Tom HanksAyelet ZurerArmin Mueller-StahlRon HowardMystery Thriller
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor,Chris HemsworthNatalie PortmanAnthony HopkinsKenneth BranaghAction Adventure Fantasy
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family,bolt,Chloë Grace MoretzDiedrich BaderJames LiptonByron HowardAdventure Animation Comedy Drama Family
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force,Kelli GarnerPiper Mackenzie HarrisNiecy NashHoyt YeatmanAction Adventure Animation Comedy Family Fantasy Sci-Fi
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy,wrath of the titans,Liam NeesonEdgar RamírezLily JamesJonathan LiebesmanAction Adventure Fantasy
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror,dark shadows,Johnny DeppChloë Grace MoretzChristopher LeeTim BurtonComedy Fantasy Horror
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,mission: impossible - rogue nation,Tom CruiseJeremy RennerSean HarrisChristopher McQuarrieAction Adventure Thriller
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,the wolfman,Anthony HopkinsSimon MerrellsArt MalikJoe JohnstonDrama Fantasy Horror Thriller
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan,Christoph WaltzAlexander SkarsgårdCasper CrumpDavid YatesAction Adventure Drama Romance
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family,bee movie,Matthew BroderickOprah WinfreyRip TornSteve HicknerAdventure Animation Comedy Family
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family,kung fu panda 2,Angelina Jolie PittGary OldmanMike BellJennifer Yuh NelsonAction Adventure Animation Comedy Family
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy,the last airbender,Seychelle GabrielNoah RingerAasif MandviM. Night ShyamalanAction Adventure Family Fantasy
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller,mission: impossible iii,Philip Seymour HoffmanTom CruiseEddie MarsanJ.J. AbramsAction Adventure Thriller
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller,white house down,Channing TatumJake WeberMatt CravenRoland EmmerichAction Drama Thriller
Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms,Elisabeth HarnoisDan FoglerTom Everett ScottSimon WellsAction Adventure Animation Comedy Family Sci-Fi
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Adventure Animation Comedy Family,flushed away,Hugh JackmanKate WinsletDavid SuchetDavid BowersAdventure Animation Comedy Family
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman,Ty BurrellZach CallisonKaran BrarRob MinkoffAdventure Animation Comedy Family Sci-Fi
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,troy,Brad PittOrlando BloomJulian GloverWolfgang PetersenAdventure
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure Animation Comedy Family,madagascar 3: europe's most wanted,Jada Pinkett SmithMartin ShortCedric the EntertainerEric DarnellAdventure Animation Comedy Family
Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller,die another day,Toby StephensColin SalmonRick YuneLee TamahoriAction Adventure Thriller
Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller,armageddon,Bruce WillisSteve BuscemiWill PattonMichael BayAction Adventure Sci-Fi Thriller
